ID,Use,industry,industry.group,site,unit,BP.cal.median,C14.mean,C14.SD,C14.COV,calib.curve,sample.id,material,delta 13,method&id,comments,citation,country,region
28,1,Upper Solutrean,Solutrean,Ambrosio,IV,25837,21520,120,0.0056,intcal20,Gif-9884,charcoal,NA,Conv 14C 7900,NA,"La Cueva de Ambrosio (Almeria,Spain) Ysu posigon cronoestratigrafica en el mediterraneo occidental. B.A.R. (Oxford,nr. 462 2 1088. 520. Jorda-Pardo J.F. e.a. 2012. Espacio,Tiempo y Forma I,5: 71..",Spain,Southwest
29,1,Upper Solutrean,Solutrean,Ambrosio,IV,20067,16620,280,0.0168,intcal20,Gif-7275,charcoal,NA,Conv 14C 247,NA,Ripoll López 1988,Spain,Southwest
30,1,Notches and Denticulates Mesolithic,Mesolithic,Angel 1,NA,9105,8150,70,0.0086,intcal20,GrN-15520,NA,NA,NA,NA,Sebastián 1988,Spain,Southwest
31,1,Notches and Denticulates Mesolithic,Mesolithic,Angel 1,NA,9142,8210,210,0.0256,intcal20,GrN-15519,NA,NA,NA,NA,Sebastián 1988,Spain,Southwest
32,1,Geometric Mesolithic,Mesolithic,Angel 1,VIIIc,8822,7955,45,0.0057,intcal20,GrA-27278,NA,NA,NA,NA,Utrilla et al. 2009,Spain,Southwest
33,1,Geometric Mesolithic,Mesolithic,Angel 1,VIIIc,8263,7435,45,0.0061,intcal20,GrA-27274,NA,NA,NA,NA,Utrilla et al. 2009,Spain,Southwest
34,1,Notches and Denticulates Mesolithic,Mesolithic,Angel 1,8d,9412,8390,60,0.0072,intcal20,GrA-22826,NA,NA,NA,NA,Utrilla & Domingo 2002,Spain,Southwest
35,1,Notches and Denticulates Mesolithic,Mesolithic,Angel 1,8 inf,8954,8060,270,0.0335,intcal20,GrN-15518,NA,NA,NA,NA,Sebastián 1988,Spain,Southwest
36,1,Notches and Denticulates Mesolithic,Mesolithic,Angel 2,2b,9412,8390,60,0.0072,intcal20,GrA-22836,NA,NA,NA,NA,Utrilla & Domingo 2002,Spain,Southwest
37,1,Gravettian,Gravettian,Angel de Ladrunan,10b med,29596,25330,190,0.0075,intcal20,GrA-16961,charcoal,NA,AMS 3506,NA,Montes L. e.a. 2008. L'Anthropologie 112: 168-181.,Spain,Southwest
38,1,Mesolithic,Mesolithic,Araguina Sennola,C XVIIIa,9512,8520,150,0.0176,intcal20,Gif-2705,NA,NA,NA,NA,Manen & Sabatier 2003,France,Southeast
39,1,Upper Gravettian,Gravettian,Arbreda,0.38 - 0.395m,24191,20130,220,0.0109,intcal20,Gif-6420,NA,NA,Conv 14C 2340,NA,"Cal i Roquet,J.,& Carbonell i Roura,E. [et al.] 1989 (Catalunya Paleolitica; Patrot Francesc Eiximenis,Gero: 322-34); Burjachs F.,Reult-Miskovsky J.,1992. Quaterire,3(2) : 75-85",Spain,N Central
40,1,Solutrean,Solutrean,Arbreda,3.03-3.15m,20949,17320,290,0.0167,intcal20,Gif-6418,NA,NA,Conv 14C 4744,NA,"Villaverde,V.,et al. 1998 . (ourl of World Prehistory,12: 121-98,xt",Spain,N Central
41,1,Upper Solutrean,Solutrean,Arbreda,3.25-3.50m,21520,17750,290,0.0163,intcal20,Gif-6419,NA,NA,Conv 14C 4745,NA,"Villaverde,V.,et al. 1998 . (ourl of World Prehistory,12: 121-98,xt",Spain,N Central
42,1,Gravettian,Gravettian,Arbreda,E,30375,26100,210,0.008,intcal20,OxA-21668,indet. diaphyseal fragment cut marked percussion marked,-20.6,AMS 6588,NA,Wood R.E. e.a. 2014.JHE 69: 91-109.,Spain,N Central
43,1,Gravettian,Gravettian,Arbreda,E,30063,25780,210,0.0081,intcal20,OxA-21669,indet. diaphyseal fragment,-20,AMS 6587,NA,Wood R.E. e.a. 2014.JHE 69: 91-109.,Spain,N Central
44,1,Gravettian,Gravettian,Arbreda,F,32408,28260,280,0.0099,intcal20,OxA-21781,Cervus elaphus fragment from distal articulation of 1st phalanx,-20.5,AMS 6590,NA,Wood R.E. e.a. 2014.JHE 69: 91-109.,Spain,N Central
45,1,Gravettian,Gravettian,Arbreda,F,32435,28280,290,0.0103,intcal20,OxA-21782,cf. Cervus elaphus dostam shaft fragment of right femur-no modification,-19.2,AMS 6589,NA,Wood R.E. e.a. 2014.JHE 69: 91-109.,Spain,N Central
46,1,Evolved Aurignacian,Aurignacian,Arbreda,G,26858,22590,290,0.0128,intcal20,Gif-6421,charcoal ?,NA,Conv 14C 4824,NA,"Burjachs F.,Reult-Miskovsky J.,1992. Quaterire,3(2) : 75-85. Maroto J. e.a. 2012. QI 247: 15-25. Wood R.E. e.a. 2014.JHE 69: 91-109.",Spain,N Central
47,1,Aurignacian,Aurignacian,Arbreda,G,30108,25830,400,0.0155,intcal20,Gif-6422,charcoal,NA,Conv 14C 2339,NA,"Cal i Roquet,J.,& Carbonell i Roura,E. [et al.] 1989 (Catalunya Paleolitica; Patrot Francesc Eiximenis,Gero: 322-34);",Spain,N Central
48,1,Gravettian,Gravettian,Arene Candide,burial II,27602,23440,190,0.0081,intcal20,OxA-10700,NA,NA,NA,NA,NA,Italy,Northeast
49,1,EpiGravettian,Magdalenian,Arene Candide,Burial III,11596,10065,55,0.0055,intcal20,OxA-10998,human bone,NA,AMS 2603,NA,Formicola V. et al. 2005. Jourl of Archaeological Science 32: 1598-1602.,Italy,Northeast
50,1,EpiGravettian,Magdalenian,Arene Candide,Burial Vb,11337,9925,50,0.005,intcal20,OxA-10999,human bone,NA,AMS 2604,NA,Formicola V. et al. 2005. Jourl of Archaeological Science 32: 1598-1602.,Italy,Northeast
51,1,EpiGravettian,Magdalenian,Arene Candide,Burial Vib,12625,10585,55,0.0052,intcal20,OxA-11000,human bone,NA,AMS 2605,NA,Formicola V. et al. 2005. Jourl of Archaeological Science 32: 1598-1602.,Italy,Northeast
52,0,NA,NA,Arene Candide,Burial VIII,12679,10655,55,0.0052,intcal20,OxA-11001,human bone,NA,AMS 2606,industry association not specified,Formicola V. et al. 2005. Jourl of Archaeological Science 32: 1598-1602.,Italy,Northeast
53,1,Upper Epigravettian,Magdalenian,Arene Candide,Burial X,13561,11605,445,0.0383,intcal20,GX-16960-A,human bone,NA,Conv 14C 4401,NA,"Djindjian F.,J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin,Paris.",Italy,Northeast
54,1,Upper Epigravettian,Magdalenian,Arene Candide,Burial XII,12716,10720,55,0.0051,intcal20,OxA-11002,human bone,NA,AMS 2602,NA,"Djindjian F.,J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin,Paris.",Italy,Northeast
55,1,Upper Epigravettian,Magdalenian,Arene Candide,Burial XII,13427,11510,385,0.0334,intcal20,GX-16964-K,left human humerus,NA,Conv 14C 4402,NA,"Djindjian F.,J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin,Paris.",Italy,Northeast
56,0,NA,NA,Arene Candide,Burial XIV,12723,10735,55,0.0051,intcal20,OxA-11003,human bone,NA,AMS 2607,industry association not specified,Formicola V. et al. 2005. Jourl of Archaeological Science 32: 1598-1602.,Italy,Northeast
57,1,Upper Epigravettian,Magdalenian,Arene Candide,M 1 top,11512,9980,140,0.014,intcal20,Beta-49694,NA,NA,Conv 14C 4403,NA,"Djindjian F.,J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin,Paris.",Italy,Northeast
58,1,Upper Epigravettian,Magdalenian,Arene Candide,M 1-2,12846,10910,90,0.0082,intcal20,R-740,charcoal,NA,Conv 14C 4405,NA,"Djindjian F.,J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin,Paris. Formicola V.2005. JAS 32: 1598-1602.",Italy,Northeast
59,1,Upper Epigravettian,Magdalenian,Arene Candide,M 1-2,12718,10740,90,0.0084,intcal20,Beta--53981,charcoal,NA,AMS 5296,NA,"Djindjian F.,J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin,Paris. Formicola V.2005. JAS 32: 1598-1602.",Italy,Northeast
60,1,Upper Epigravettian,Magdalenian,Arene Candide,M 3-4,13613,11750,95,0.0081,intcal20,R-743,NA,NA,Conv 14C 4406,NA,"Djindjian F.,J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin,Paris.",Italy,Northeast
61,1,Gravettian Lower Epigravettian,Magdalenian,Arene Candide,P1,22509,18560,210,0.0113,intcal20,R-745,NA,NA,Conv 14C 4397,NA,"Djindjian F.,J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin,Paris. Rellini I. e.a. 2013. QI 315: 42-55.",Italy,Northeast
62,1,Gravettian Lower Epigravettian,Magdalenian,Arene Candide,P1,18455,15110,200,0.0132,intcal20,Beta-56693,sediment,NA,AMS 6174,NA,"Djindjian F.,J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin,Paris. Rellini I. e.a. 2013. QI 315: 42-55.",Italy,Northeast
63,1,Epigravettian,Magdalenian,Arene Candide,P1,17996,14760,230,0.0156,intcal20,R-2568,NA,NA,NA,NA,NA,Italy,Northeast
64,1,Upper Gravettian,Gravettian,Arene Candide,P12 hearth VI of Cardini,31379,27381,200,0.0073,intcal20,LTL-3769A,charcoal,NA,AMS 6175,NA,"Djindjian F.,J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin,Paris. Rellini I. e.a. 2013. QI 315: 42-55.",Italy,Northeast
65,1,Upper Gravettian,Gravettian,Arene Candide,P12 hearth VI of Cardini-shallow lenses of fine charcoal,27610,23450,220,0.0094,intcal20,Beta-53983,charcoal,NA,Conv 14C 4272,NA,"Djindjian F.,J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin,Paris. Rellini I. e.a. 2013. QI 315: 42-55.",Italy,Northeast
66,1,Gravettian/Lower Epigravettian,Magdalenian,Arene Candide,P13,29895,25620,200,0.0078,intcal20,Beta-51982,NA,NA,Conv 14C 3904,NA,"Mussi M.,2000. Heading South. In: Hunters of the Golden Age: 355-374",Italy,Northeast
67,1,Epigravettian,Magdalenian,Arene Candide,P2,18173,14910,300,0.0201,intcal20,R-2578,NA,NA,NA,NA,NA,Italy,Northeast
68,0,Upper Paleolithic,NA,Arene Candide,P3,22853,18950,245,0.0129,intcal20,NA,NA,NA,NA,industry association not specified,NA,Italy,Northeast
69,1,Epigravettian,Magdalenian,Arene Candide,P3,22170,18255,215,0.0118,intcal20,R-2546,NA,NA,NA,NA,NA,Italy,Northeast
70,1,Epigravettian,Magdalenian,Arene Candide,P4,22486,18550,155,0.0084,intcal20,R-2550,NA,NA,NA,NA,NA,Italy,Northeast
71,1,Gravettian Lower Epigravettian,Magdalenian,Arene Candide,P4,22116,18220,250,0.0137,intcal20,R-2550,NA,NA,Conv 14C 4399,NA,"Djindjian F.,J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin,Paris.",Italy,Northeast
72,1,Epigravettian,Magdalenian,Arene Candide,P5,22363,18435,230,0.0125,intcal20,R-2552,NA,NA,NA,NA,NA,Italy,Northeast
73,1,Gravettian/Ancient Epigravettian,Magdalenian,Arene Candide,P7.3,23382,19400,230,0.0119,intcal20,R-2533,NA,NA,Conv 14C 4400,NA,"Djindjian F.,J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin,Paris.",Italy,Northeast
74,1,Gravettian,Gravettian,Arene Candide,P7.2,22860,18955,245,0.0129,intcal20,R-2540,NA,NA,NA,NA,NA,Italy,Northeast
75,1,Gravettian/Ancient Epigravettian,Magdalenian,Arene Candide,P8,23563,19630,250,0.0127,intcal20,Beta-48684,NA,NA,Conv 14C 3901,NA,"Mussi M.,2000. Heading South. In: Hunters of the Golden Age: 355-374",Italy,Northeast
76,1,Gravettian,Gravettian,Arene Candide,P8,23772,19760,385,0.0195,intcal20,R-2553,NA,NA,NA,NA,NA,Italy,Northeast
77,1,Gravettian/Ancient Epigravettian,Magdalenian,Arene Candide,P9,24633,20470,320,0.0156,intcal20,R-2541,NA,NA,Conv 14C 3902,NA,"Mussi M.,2000. Heading South. In: Hunters of the Golden Age: 355-374",Italy,Northeast
78,1,Epipalaeolithic,Epipaleolithic,Atxoste,E,10685,9450,50,0.0053,intcal20,GrA-35141,NA,NA,NA,NA,Utrilla et al. 2010,Spain,N Central
79,1,Magdalenian,Magdalenian,Atxoste,f2,13927,12070,60,0.005,intcal20,GrA-19554,NA,NA,NA,NA,Alday 2002,Spain,N Central
80,1,Magdalenian,Magdalenian,Atxoste,g,14135,12200,90,0.0074,intcal20,GrA-19502,NA,NA,NA,NA,Alday 2002,Spain,N Central
81,1,Magdalenian,Magdalenian,Atxoste,h2,14841,12540,80,0.0064,intcal20,GrA-19503,NA,NA,NA,NA,Alday 2002,Spain,N Central
82,1,Epipalaeolithic,Epipaleolithic,Atxoste,VIb2,10813,9510,50,0.0053,intcal20,GrA-35142,NA,NA,NA,NA,Utrilla et al. 2010,Spain,N Central
83,1,Epipalaeolithic,Epipaleolithic,Atxoste,VI,10906,9550,60,0.0063,intcal20,GrA-15858,NA,NA,NA,NA,Utrilla et al. 2010,Spain,N Central
84,1,Magdalenian,Magdalenian,Atxoste,VII,13664,11800,60,0.0051,intcal20,GrA-22900,NA,NA,NA,NA,Utrilla et al. 2010,Spain,N Central
85,1,Magdalenian,Magdalenian,Atxoste,VIIb,13575,11720,70,0.006,intcal20,GrA-22865,NA,NA,NA,NA,Alday 2002,Spain,N Central
86,1,Magdalenian,Magdalenian,Atxoste,VIIc,13624,11760,70,0.006,intcal20,GrA-22866,NA,NA,NA,NA,Alday 2002,Spain,N Central
87,1,Late Palaeolithic/Epipalaeolithic,Epipaleolithic,Aven des Iboussieres,4C,11891,10210,80,0.0078,intcal20,Ly-170,bone,NA,Conv 14C 6802,NA,Onoratini G. 1996. Eraul: 257-268.,France,N Central
88,1,Epigravettian,Magdalenian,Azzura di Paina,5,12732,10760,100,0.0093,intcal20,UtC-2698,animal bone,NA,AMS 2787,NA,Sommer R. e.a. 2008. QSR 27: 714-733.,Italy,Northeast
89,1,early Eppigravettian,Magdalenian,Azzura di Paina,6,23412,19430,150,0.0077,intcal20,UtC-2043,bone,NA,AMS 2786,NA,Sommer R. e.a. 2008. QSR 27: 714-733. Preistoria Alpi 45 (2011): 7-19.,Italy,Northeast
90,1,early Eppigravettian,Magdalenian,Azzura di Paina,6,24179,20120,220,0.0109,intcal20,UtC-2696,bone,NA,AMS 1713,NA,Sommer R. e.a. 2008. QSR 27: 714-733. Preistoria Alpi 45 (2011): 7-19.,Italy,Northeast
91,1,Dufour Aurignacian,Aurignacian,Azzura di Paina,7a,24292,20200,240,0.0119,intcal20,UtC-2697,bone,NA,AMS 1712,NA,NA,Italy,Northeast
92,1,Solutrean,Solutrean,Bajondillo,Bj9,24078,19990,480,0.024,intcal20,AA--34710,charcoal,NA,AMS 5194,NA,Cortes M. e.a. 2011. Pyree 42: 51-75.,Spain,Southwest
93,1,Geometric Mesolithic,Mesolithic,Bajondillo,III,8278,7475,80,0.0107,intcal20,Ua-18269,NA,NA,NA,NA,Cortes 2007,Spain,Southwest
94,1,Geometric Mesolithic,Mesolithic,Bajondillo,IV,8121,7325,65,0.0089,intcal20,Ua-21999,NA,NA,NA,NA,Cortes 2007,Spain,Southwest
95,1,Epipalaeolithic,Epipaleolithic,Balma de la Griera,II,8171,7360,150,0.0204,intcal20,GrA-7193,NA,NA,NA,NA,Blasco et al. 2011,Spain,N Central
96,0,Upper Palaeolithic,NA,Balma de la Griera,III,25519,21255,350,0.0165,intcal20,AA-8649 X-404,bone,NA,Conv 14C 5306,industry association not specified,Garcia Diez M. & Cebria I Escuer A. 2003. Zephyrus 56: 39-48.,Spain,N Central
97,1,Solutrean,Solutrean,Balma de la Griera,III,20401,16890,200,0.0118,intcal20,GrA-6486,bone,NA,AMS 2250,NA,Garcia Diez M. & Cebria I Escuer A. 2003. Zephyrus 56: 39-48.,Spain,N Central
98,1,Epimagdalenian,Magdalenian,Balma de la Roureda,capa 7-II,13233,11350,70,0.0062,intcal20,Beta-244009,charcoal Pinus nigra/sylvestris,NA,AMS 4320,NA,Roman Monroig D.2010. Pyree 41: 7-28.,Spain,Southwest
99,1,Epipalaeolithic/Microlaminar Azilian,Epipaleolithic,Balma del Gai,1.2 / Base,13068,11170,160,0.0143,intcal20,Gif-10029,charcoal,NA,Conv 14C 6666,NA,Cava Almuzara A. 2004. Saldvie 4: 17-40. Garcia-Arguelles Andreu P.. 2005. Trabajos de Prehistoria 62: 65-83. Martinez-Moreno J. e.a. TP 66: 45-60.,Spain,N Central
100,1,Epipalaeolithic/Microlaminar Azilian,Epipaleolithic,Balma del Gai,1.2 / Base,12970,11054,160,0.0145,intcal20,NA,NA,NA,Conv 14C 6591,NA,Cava Almuzara A. 2004. Saldvie 4: 17-40. Garcia-Arguelles Andreu P.. 2005. Trabajos de Prehistoria 62: 65-83. Martinez-Moreno J. e.a. TP 66: 45-60.,Spain,N Central
101,1,Epipalaeolithic,Epipaleolithic,Balma del Gai,I.1 / II,12018,10260,90,0.0088,intcal20,GifA-95617,charcoal,NA,AMS 6947,NA,Cava Almuzara A. 2004. Saldvie 4: 17-40. Garcia-Arguelles Andreu P.. 2005. Trabajos de Prehistoria 62: 65-83. Allue E. E.a. 2007. Trabajos de Prehistoria 64: 87-97. Martinez-Moreno J. e.a. TP 66: 45-60. Morales J.I. e.a. 2013. TP 70: 54-75.,Spain,N Central
102,1,Epipalaeolithic,Epipaleolithic,Balma del Gai,I.1 / II,14233,12240,110,0.009,intcal20,GifA-95630,charcoal,NA,AMS 5292,NA,Cava Almuzara A. 2004. Saldvie 4: 17-40. Garcia-Arguelles Andreu P.. 2005. Trabajos de Prehistoria 62: 65-83. Allue E. E.a. 2007. Trabajos de Prehistoria 64: 87-97. Martinez-Moreno J. e.a. TP 66: 45-60. Morales J.I. e.a. 2013. TP 70: 54-75.,Spain,N Central
103,1,Epipalaeolithic,Epipaleolithic,Balma del Gai,I.1 / II,11273,9830,140,0.0142,intcal20,Gif-10028,charcoal,NA,Conv 14C 6593,NA,García-Argüelles et al. 2005,Spain,N Central
104,1,Epipalaeolithic,Epipaleolithic,Balma del Gai,I.1 / II,11615,10050,160,0.0159,intcal20,MC-2140,charcoal,NA,Conv 14C 6668,NA,Cava Almuzara A. 2004. Saldvie 4: 17-40. Garcia-Arguelles Andreu P.. 2005. Trabajos de Prehistoria 62: 65-83. Allue E. E.a. 2007. Trabajos de Prehistoria 64: 87-97. Martinez-Moreno J. e.a. TP 66: 45-60. Morales J.I. e.a. 2013. TP 70: 54-75.,Spain,N Central
105,1,Epipalaeolithic,Epipaleolithic,Balma del Gai,I.1 / II,11587,10030,160,0.016,intcal20,MC-2141,NA,NA,Conv 14C 6592,NA,Cava Almuzara A. 2004. Saldvie 4: 17-40. Garcia-Arguelles Andreu P.. 2005. Trabajos de Prehistoria 62: 65-83. Allue E. E.a. 2007. Trabajos de Prehistoria 64: 87-97. Martinez-Moreno J. e.a. TP 66: 45-60. Morales J.I. e.a. 2013. TP 70: 54-75.,Spain,N Central
106,1,Epipalaeolithic,Epipaleolithic,Balma del Gai,I.1 / II,11385,9860,400,0.0406,intcal20,MC-1478,NA,NA,Conv 14C 7691,NA,Cava Almuzara A. 2004. Saldvie 4: 17-40. Garcia-Arguelles Andreu P.. 2005. Trabajos de Prehistoria 62: 65-83. Allue E. E.a. 2007. Trabajos de Prehistoria 64: 87-97. Martinez-Moreno J. e.a. TP 66: 45-60. Morales J.I. e.a. 2013. TP 70: 54-75.,Spain,N Central
107,1,Epigravettian,Magdalenian,Balma Grande,NA,20755,17200,180,0.0105,intcal20,GrA-95072,bone,NA,AMS 4452,NA,NA,Italy,Northeast
108,1,Epigravettian,Magdalenian,Balma Grande,NA,23271,19280,220,0.0114,intcal20,GifA-95073,antler,NA,AMS 4451,NA,NA,Italy,Northeast
109,1,Ancient Epigravettian,Magdalenian,Baracche,single layer,18235,14929,110,0.0074,intcal20,LTL-172A,charcoal,NA,Conv 14C 7953,NA,"Broglio A. 2006. ERAUL 115: 105-110. Peresani et al.,2005",Italy,Southeast
110,1,Middle Palaeolithic (late? Mousterian) Early? Upper Palaeolithic (Aurignacian),Aurignacian,Barbara,NA,30743,26580,350,0.0132,intcal20,OxA-3609,charred bone,NA,AMS 24,NA,"Zampetti & Mussi,ERAUL 35 1988,p. 199-214,Caloi & Palombo,Quaterria Nova I,1990-1991,p. 267-276; Mussi & Zampetti,Quaterria Nova I,1990-1991,p. 277-287; Mussi & Zampetti,XIII Congres UISPP,Lazio & Bbuzzo,vol. 10,1995,p. 106-113",Italy,Southeast
111,1,Gravettian,Gravettian,Barma Grande,NA,17166,14110,150,0.0106,intcal20,GifA-95074,bone,NA,AMS 4450,NA,NA,Italy,Northeast
112,1,Gravettian?,Gravettian,Barma Grande,skeleton from BG6 at a depth of 6.4 m,29032,24800,800,0.0323,intcal20,OxA-10093,metatarsal bone from the skeleton of the adult male BM6,-19.7,AMS 2160,NA,Formicola e.a. 2004. C.A. 45:114-118.,Italy,Northeast
113,0,Upper Palaeolithic,NA,Barma Grande,burial 2,18290,14990,80,0.0053,intcal20,Beta-63510 CAMS-7641,rib fragment from adult male,NA,AMS 1817,industry association not specified,Formicola V. e.a. Current Anthropology 45: 108.,Italy,Northeast
114,1,Magdalenian ?,Magdalenian,Barranc de l'Infern,NA,21578,17800,290,0.0163,intcal20,Gif-7060,bone,NA,Conv 14C 246,NA,"Cacho C.,Ripoll S.,1987",Spain,Southwest
115,1,Magdalenian,Magdalenian,Barranc de l'Infern,II-IIa,14488,12200,900,0.0737704918032787,intcal20,Gif-7059,bone,NA,C14?,NA,"Cacho y Ripoll,",Spain,Southwest
116,1,Gravettian,Gravettian,Barriada,A EC-1,27124,22750,110,0.0048,intcal20,Beta-296222,Pinus nigra,-21.9,AMS 6619,NA,Ferndez-Lopez de Pablo J. e.a. 2014.; PLoS ONE 9(8): e104898. doi:10.1371/jourl.pone.0104898,Spain,Southwest
